iteration,mode,arm,stage,hypothesis_id,trigger_id,trigger_type,test_id,status,test_status,test_path,test_sha256,same_test,hypothesis_sha256,mechanism_match,oracle_status,buggy_exit,fixed_exit,buggy_state,fixed_state,buggy_failure_type,fixed_failure_type,buggy_exception,fixed_exception,classification,verified_f2p,failure_category,activation,planner_attempt_index,planner_attempt_status,repair_attempts,llm_calls,prompt_tokens,completion_tokens,wall_clock_seconds,buggy_log,fixed_log,error
1,conditional,C1,TEST,conditional-h01-e0c8bd3ab2,direct,DIRECT,conditional-h01-e0c8bd3ab2-direct,TEST,EXECUTABLE,generated_tests/experiment4/iteration1/C1/conditional-h01-e0c8bd3ab2-direct.py,fc35fbd6c0a295696ef1224f9de54b1098745d2e6e789a4d7c077ada6a2ef280,True,e0c8bd3ab2481f840b4ee7e6902b44ec0bee11d05fbea5261ae5ad5af3f1e7c2,yes,SUPPORTED_ORACLE,1,0,FAIL,PASS,ASSERTION_FAILURE,,AssertionError,,ASSERTION_F2P,True,VALID_ASSERTION_F2P,ACTIVATED,,,0,1,575,522,2.292,artifacts/execution_logs/experiment4/iteration1/iteration1_C1_conditional-h01-e0c8bd3ab2_direct_buggy.log,artifacts/execution_logs/experiment4/iteration1/iteration1_C1_conditional-h01-e0c8bd3ab2_direct_fixed.log,
1,conditional,C1,TEST,conditional-h02-c19fcca1ca,direct,DIRECT,,MODEL_ERROR,MODEL_OUTPUT_FAILURE,,,,c19fcca1ca6f1ac998539ccd9c008059015bdca92b9276801c639484bdcfe692,yes,UNSUPPORTED_ORACLE,,,,,,,,,MODEL_ERROR,,MODEL_OUTPUT_FAILURE,,,,0,1,0,0,0.89,,,unsupported test status:
1,conditional,C1,TEST,conditional-h03-768b90f0a5,direct,DIRECT,conditional-h03-768b90f0a5-direct,TEST,EXECUTABLE,generated_tests/experiment4/iteration1/C1/conditional-h03-768b90f0a5-direct.py,8a2147340217c8393f71c0cffaaca264624126bbeaebcfddc1be2e289776ae19,True,768b90f0a584e3ab99782b4766e6a8e28474486ecb76eeab883184fac7f32c1c,yes,SUPPORTED_ORACLE,0,0,PASS,PASS,,,,,P2P,False,TRIGGER_TOO_WEAK,NOT_ACTIVATED,,,0,1,641,566,3.922,artifacts/execution_logs/experiment4/iteration1/iteration1_C1_conditional-h03-768b90f0a5_direct_buggy.log,artifacts/execution_logs/experiment4/iteration1/iteration1_C1_conditional-h03-768b90f0a5_direct_fixed.log,
1,conditional,C1,TEST,conditional-h04-a9ae48b9d8,direct,DIRECT,conditional-h04-a9ae48b9d8-direct,TEST,EXECUTABLE,generated_tests/experiment4/iteration1/C1/conditional-h04-a9ae48b9d8-direct.py,d462b66407d6179515d2caa1f4964b9eddffc09d63f4492179bb434443014e3d,True,a9ae48b9d893c88b17406f0c9ec663488f2c39df8465b94da1c40f0ad327fa14,yes,SUPPORTED_ORACLE,1,0,FAIL,PASS,ASSERTION_FAILURE,,AssertionError,,ASSERTION_F2P,True,VALID_ASSERTION_F2P,ACTIVATED,,,0,1,605,544,2.311,artifacts/execution_logs/experiment4/iteration1/iteration1_C1_conditional-h04-a9ae48b9d8_direct_buggy.log,artifacts/execution_logs/experiment4/iteration1/iteration1_C1_conditional-h04-a9ae48b9d8_direct_fixed.log,
1,conditional,C1,TEST,conditional-h05-080bc02016,direct,DIRECT,conditional-h05-080bc02016-direct,TEST,EXECUTABLE,generated_tests/experiment4/iteration1/C1/conditional-h05-080bc02016-direct.py,6ee4e6a4a6bd1152abf8954dc95eb4e157463d842d6c93c6187f0f89efe8a4df,True,080bc02016cd546877b681eb6e3976c601936656104c3a4d7860f5d665e770c1,yes,SUPPORTED_ORACLE,0,0,PASS,PASS,,,,,P2P,False,TRIGGER_TOO_WEAK,NOT_ACTIVATED,,,0,1,583,469,2.34,artifacts/execution_logs/experiment4/iteration1/iteration1_C1_conditional-h05-080bc02016_direct_buggy.log,artifacts/execution_logs/experiment4/iteration1/iteration1_C1_conditional-h05-080bc02016_direct_fixed.log,
1,conditional,C2,TEST,conditional-h01-e0c8bd3ab2,plan-1,PLAN,conditional-h01-e0c8bd3ab2-plan-1,TEST,EXECUTABLE,generated_tests/experiment4/iteration1/C2/conditional-h01-e0c8bd3ab2-plan-1.py,e94382111c8a2e43bf84fdf2e85c498a2b25c587f8d58bbaa11d7dd29cf3b048,True,e0c8bd3ab2481f840b4ee7e6902b44ec0bee11d05fbea5261ae5ad5af3f1e7c2,yes,SUPPORTED_ORACLE,1,0,FAIL,PASS,ASSERTION_FAILURE,,AssertionError,,ASSERTION_F2P,True,VALID_ASSERTION_F2P,ACTIVATED,,,0,1,16005,465,2.901,artifacts/execution_logs/experiment4/iteration1/iteration1_C2_conditional-h01-e0c8bd3ab2_plan-1_buggy.log,artifacts/execution_logs/experiment4/iteration1/iteration1_C2_conditional-h01-e0c8bd3ab2_plan-1_fixed.log,
1,conditional,C2,TEST,conditional-h01-e0c8bd3ab2,plan-2,PLAN,conditional-h01-e0c8bd3ab2-plan-2,TEST,EXECUTABLE,generated_tests/experiment4/iteration1/C2/conditional-h01-e0c8bd3ab2-plan-2.py,e85898275b452dd81627a0257d89a39471cacccbd8a3107757168282b099ea89,True,e0c8bd3ab2481f840b4ee7e6902b44ec0bee11d05fbea5261ae5ad5af3f1e7c2,yes,SUPPORTED_ORACLE,1,0,FAIL,PASS,TARGET_EXCEPTION,,UnicodeEncodeError,,EXCEPTION_F2P,True,VALID_EXCEPTION_F2P,ACTIVATED,,,0,1,16065,254,2.164,artifacts/execution_logs/experiment4/iteration1/iteration1_C2_conditional-h01-e0c8bd3ab2_plan-2_buggy.log,artifacts/execution_logs/experiment4/iteration1/iteration1_C2_conditional-h01-e0c8bd3ab2_plan-2_fixed.log,
1,conditional,C2,TEST,conditional-h01-e0c8bd3ab2,plan-3,PLAN,conditional-h01-e0c8bd3ab2-plan-3,TEST,EXECUTABLE,generated_tests/experiment4/iteration1/C2/conditional-h01-e0c8bd3ab2-plan-3.py,fed2e92a24d45b804ec857894e8526bfe781d9d0138ee38ae33894062ec65e5f,True,e0c8bd3ab2481f840b4ee7e6902b44ec0bee11d05fbea5261ae5ad5af3f1e7c2,yes,SUPPORTED_ORACLE,1,0,FAIL,PASS,ASSERTION_FAILURE,,AssertionError,,ASSERTION_F2P,True,VALID_ASSERTION_F2P,ACTIVATED,,,0,1,16024,500,3.376,artifacts/execution_logs/experiment4/iteration1/iteration1_C2_conditional-h01-e0c8bd3ab2_plan-3_buggy.log,artifacts/execution_logs/experiment4/iteration1/iteration1_C2_conditional-h01-e0c8bd3ab2_plan-3_fixed.log,
1,conditional,C2,PLANNER,conditional-h01-e0c8bd3ab2,planner,PLAN,,VALID,NOT_EXECUTED,,,,e0c8bd3ab2481f840b4ee7e6902b44ec0bee11d05fbea5261ae5ad5af3f1e7c2,yes,UNSUPPORTED_ORACLE,,,,,,,,,PLAN_VALID,,VALID_PLAN,,0,VALID,0,1,16534,2057,7.251,,,
1,conditional,C2,TEST,conditional-h02-c19fcca1ca,plan-1,PLAN,conditional-h02-c19fcca1ca-plan-1,TEST,EXECUTABLE,generated_tests/experiment4/iteration1/C2/conditional-h02-c19fcca1ca-plan-1.py,ea4125373238740360a390d3ae31ee2886a523a526732d6c344901ab057f2c6c,True,c19fcca1ca6f1ac998539ccd9c008059015bdca92b9276801c639484bdcfe692,yes,SUPPORTED_ORACLE,1,1,FAIL,FAIL,TARGET_EXCEPTION,TARGET_EXCEPTION,UnicodeEncodeError,UnicodeEncodeError,F2F,False,SEMANTIC_NON_TRIGGER,ACTIVATED,,,0,1,15933,223,2.151,artifacts/execution_logs/experiment4/iteration1/iteration1_C2_conditional-h02-c19fcca1ca_plan-1_buggy.log,artifacts/execution_logs/experiment4/iteration1/iteration1_C2_conditional-h02-c19fcca1ca_plan-1_fixed.log,
1,conditional,C2,TEST,conditional-h02-c19fcca1ca,plan-2,PLAN,,MODEL_ERROR,MODEL_OUTPUT_FAILURE,,,,c19fcca1ca6f1ac998539ccd9c008059015bdca92b9276801c639484bdcfe692,yes,UNSUPPORTED_ORACLE,,,,,,,,,MODEL_ERROR,,MODEL_OUTPUT_FAILURE,,,,0,1,0,0,3.698,,,test output is empty or contains forbidden construction
1,conditional,C2,TEST,conditional-h02-c19fcca1ca,plan-3,PLAN,conditional-h02-c19fcca1ca-plan-3,TEST,EXECUTABLE,generated_tests/experiment4/iteration1/C2/conditional-h02-c19fcca1ca-plan-3.py,057b03a681968e22a352bc881a24bf75a0e41cefa71f29a18b37873984cee385,True,c19fcca1ca6f1ac998539ccd9c008059015bdca92b9276801c639484bdcfe692,yes,SUPPORTED_ORACLE,1,1,FAIL,FAIL,ASSERTION_FAILURE,ASSERTION_FAILURE,AssertionError,AssertionError,F2F,False,SEMANTIC_NON_TRIGGER,ACTIVATED,,,0,1,15943,365,2.065,artifacts/execution_logs/experiment4/iteration1/iteration1_C2_conditional-h02-c19fcca1ca_plan-3_buggy.log,artifacts/execution_logs/experiment4/iteration1/iteration1_C2_conditional-h02-c19fcca1ca_plan-3_fixed.log,
1,conditional,C2,PLANNER,conditional-h02-c19fcca1ca,planner,PLAN,,VALID,NOT_EXECUTED,,,,c19fcca1ca6f1ac998539ccd9c008059015bdca92b9276801c639484bdcfe692,yes,UNSUPPORTED_ORACLE,,,,,,,,,PLAN_VALID,,VALID_PLAN,,0,VALID,0,1,16484,1927,7.184,,,
1,conditional,C2,TEST,conditional-h03-768b90f0a5,plan-1,PLAN,conditional-h03-768b90f0a5-plan-1,TEST,EXECUTABLE,generated_tests/experiment4/iteration1/C2/conditional-h03-768b90f0a5-plan-1.py,97c3ba3e1df2df7d04016c16f85e5a1c3eeda103b40dbcfeb104fd1a2cc80f26,True,768b90f0a584e3ab99782b4766e6a8e28474486ecb76eeab883184fac7f32c1c,yes,SUPPORTED_ORACLE,0,0,PASS,PASS,,,,,P2P,False,TRIGGER_TOO_WEAK,NOT_ACTIVATED,,,0,1,16074,690,3.204,artifacts/execution_logs/experiment4/iteration1/iteration1_C2_conditional-h03-768b90f0a5_plan-1_buggy.log,artifacts/execution_logs/experiment4/iteration1/iteration1_C2_conditional-h03-768b90f0a5_plan-1_fixed.log,
1,conditional,C2,TEST,conditional-h03-768b90f0a5,plan-2,PLAN,conditional-h03-768b90f0a5-plan-2,TEST,EXECUTABLE,generated_tests/experiment4/iteration1/C2/conditional-h03-768b90f0a5-plan-2.py,86dbea3acaa864864f5c39b05bcd38276efffe06f058da87d27fc19e7e4b915b,True,768b90f0a584e3ab99782b4766e6a8e28474486ecb76eeab883184fac7f32c1c,yes,SUPPORTED_ORACLE,1,0,MECHANICAL_FAILURE,PASS,MECHANICAL_FAILURE,,AssertionError,,MECHANICAL_FAILURE,False,MECHANICAL_FAILURE,NOT_ACTIVATED,,,0,1,16086,784,4.346,artifacts/execution_logs/experiment4/iteration1/iteration1_C2_conditional-h03-768b90f0a5_plan-2_buggy.log,artifacts/execution_logs/experiment4/iteration1/iteration1_C2_conditional-h03-768b90f0a5_plan-2_fixed.log,
1,conditional,C2,TEST,conditional-h03-768b90f0a5,plan-3,PLAN,conditional-h03-768b90f0a5-plan-3,TEST,EXECUTABLE,generated_tests/experiment4/iteration1/C2/conditional-h03-768b90f0a5-plan-3.py,c26d7a2141cbaa39337754551a6355bdc9b73b641f41de9da4ca1c5fb6bd2e77,True,768b90f0a584e3ab99782b4766e6a8e28474486ecb76eeab883184fac7f32c1c,yes,SUPPORTED_ORACLE,0,0,PASS,PASS,,,,,P2P,False,TRIGGER_TOO_WEAK,NOT_ACTIVATED,,,0,1,16076,748,3.312,artifacts/execution_logs/experiment4/iteration1/iteration1_C2_conditional-h03-768b90f0a5_plan-3_buggy.log,artifacts/execution_logs/experiment4/iteration1/iteration1_C2_conditional-h03-768b90f0a5_plan-3_fixed.log,
1,conditional,C2,PLANNER,conditional-h03-768b90f0a5,planner,PLAN,,INVALID,NOT_EXECUTED,,,,768b90f0a584e3ab99782b4766e6a8e28474486ecb76eeab883184fac7f32c1c,yes,UNSUPPORTED_ORACLE,,,,,,,,,PLAN_INVALID,,MALFORMED_SCHEMA,,0,INVALID,0,1,16600,2200,7.911,,,malformed JSON: Unterminated string starting at at line 156 column 22
1,conditional,C2,PLANNER,conditional-h03-768b90f0a5,planner,PLAN,,VALID,NOT_EXECUTED,,,,768b90f0a584e3ab99782b4766e6a8e28474486ecb76eeab883184fac7f32c1c,yes,UNSUPPORTED_ORACLE,,,,,,,,,PLAN_VALID,,VALID_PLAN,,1,VALID,1,1,16657,2001,7.898,,,
1,conditional,C2,TEST,conditional-h04-a9ae48b9d8,plan-1,PLAN,conditional-h04-a9ae48b9d8-plan-1,TEST,EXECUTABLE,generated_tests/experiment4/iteration1/C2/conditional-h04-a9ae48b9d8-plan-1.py,8404073fb136ec0722b97293b933ba8fe431eccdfa1d6f3f10a75bffb166911d,True,a9ae48b9d893c88b17406f0c9ec663488f2c39df8465b94da1c40f0ad327fa14,yes,SUPPORTED_ORACLE,0,0,PASS,PASS,,,,,P2P,False,TRIGGER_TOO_WEAK,NOT_ACTIVATED,,,0,1,16085,637,2.757,artifacts/execution_logs/experiment4/iteration1/iteration1_C2_conditional-h04-a9ae48b9d8_plan-1_buggy.log,artifacts/execution_logs/experiment4/iteration1/iteration1_C2_conditional-h04-a9ae48b9d8_plan-1_fixed.log,
1,conditional,C2,TEST,conditional-h04-a9ae48b9d8,plan-2,PLAN,conditional-h04-a9ae48b9d8-plan-2,TEST,EXECUTABLE,generated_tests/experiment4/iteration1/C2/conditional-h04-a9ae48b9d8-plan-2.py,4101c7fa9989d9ab2696b9d121697f43890a4d6db0698bc3aa7c41f1cb1dcbbf,True,a9ae48b9d893c88b17406f0c9ec663488f2c39df8465b94da1c40f0ad327fa14,yes,SUPPORTED_ORACLE,1,1,MECHANICAL_FAILURE,MECHANICAL_FAILURE,MECHANICAL_FAILURE,MECHANICAL_FAILURE,AssertionError,AssertionError,MECHANICAL_FAILURE,False,MECHANICAL_FAILURE,NOT_ACTIVATED,,,0,1,16029,564,3.792,artifacts/execution_logs/experiment4/iteration1/iteration1_C2_conditional-h04-a9ae48b9d8_plan-2_buggy.log,artifacts/execution_logs/experiment4/iteration1/iteration1_C2_conditional-h04-a9ae48b9d8_plan-2_fixed.log,
1,conditional,C2,TEST,conditional-h04-a9ae48b9d8,plan-3,PLAN,conditional-h04-a9ae48b9d8-plan-3,TEST,EXECUTABLE,generated_tests/experiment4/iteration1/C2/conditional-h04-a9ae48b9d8-plan-3.py,f2235bbb194d7686d06800d4541d3376600a3d63289704def8fea3f1137d2962,True,a9ae48b9d893c88b17406f0c9ec663488f2c39df8465b94da1c40f0ad327fa14,yes,SUPPORTED_ORACLE,1,0,FAIL,PASS,ASSERTION_FAILURE,,AssertionError,,ASSERTION_F2P,True,VALID_ASSERTION_F2P,ACTIVATED,,,0,1,16038,734,4.124,artifacts/execution_logs/experiment4/iteration1/iteration1_C2_conditional-h04-a9ae48b9d8_plan-3_buggy.log,artifacts/execution_logs/experiment4/iteration1/iteration1_C2_conditional-h04-a9ae48b9d8_plan-3_fixed.log,
1,conditional,C2,PLANNER,conditional-h04-a9ae48b9d8,planner,PLAN,,VALID,NOT_EXECUTED,,,,a9ae48b9d893c88b17406f0c9ec663488f2c39df8465b94da1c40f0ad327fa14,yes,UNSUPPORTED_ORACLE,,,,,,,,,PLAN_VALID,,VALID_PLAN,,0,VALID,0,1,16564,1683,7.058,,,
1,conditional,C2,TEST,conditional-h05-080bc02016,plan-1,PLAN,conditional-h05-080bc02016-plan-1,TEST,EXECUTABLE,generated_tests/experiment4/iteration1/C2/conditional-h05-080bc02016-plan-1.py,1d53030d931e88e88093a863e16245a819e9a325852b1a4985a351100066b9b9,True,080bc02016cd546877b681eb6e3976c601936656104c3a4d7860f5d665e770c1,yes,SUPPORTED_ORACLE,1,1,MECHANICAL_FAILURE,MECHANICAL_FAILURE,MECHANICAL_FAILURE,MECHANICAL_FAILURE,AssertionError,AssertionError,MECHANICAL_FAILURE,False,MECHANICAL_FAILURE,NOT_ACTIVATED,,,0,1,16090,684,3.033,artifacts/execution_logs/experiment4/iteration1/iteration1_C2_conditional-h05-080bc02016_plan-1_buggy.log,artifacts/execution_logs/experiment4/iteration1/iteration1_C2_conditional-h05-080bc02016_plan-1_fixed.log,
1,conditional,C2,TEST,conditional-h05-080bc02016,plan-2,PLAN,conditional-h05-080bc02016-plan-2,TEST,EXECUTABLE,generated_tests/experiment4/iteration1/C2/conditional-h05-080bc02016-plan-2.py,6ca6486fd133c22ae813c99073fbc1d1e8959eb9853a0b3df9e04de2ff127c63,True,080bc02016cd546877b681eb6e3976c601936656104c3a4d7860f5d665e770c1,yes,SUPPORTED_ORACLE,1,1,MECHANICAL_FAILURE,MECHANICAL_FAILURE,MECHANICAL_FAILURE,MECHANICAL_FAILURE,AssertionError,AssertionError,MECHANICAL_FAILURE,False,MECHANICAL_FAILURE,NOT_ACTIVATED,,,0,1,16007,705,4.917,artifacts/execution_logs/experiment4/iteration1/iteration1_C2_conditional-h05-080bc02016_plan-2_buggy.log,artifacts/execution_logs/experiment4/iteration1/iteration1_C2_conditional-h05-080bc02016_plan-2_fixed.log,
1,conditional,C2,TEST,conditional-h05-080bc02016,plan-3,PLAN,conditional-h05-080bc02016-plan-3,TEST,EXECUTABLE,generated_tests/experiment4/iteration1/C2/conditional-h05-080bc02016-plan-3.py,284ad7f8a50dbfae895e736d5b43cb72d0098be44b3b3aa182b45b21f782de9e,True,080bc02016cd546877b681eb6e3976c601936656104c3a4d7860f5d665e770c1,yes,SUPPORTED_ORACLE,1,1,MECHANICAL_FAILURE,MECHANICAL_FAILURE,MECHANICAL_FAILURE,MECHANICAL_FAILURE,AssertionError,AssertionError,MECHANICAL_FAILURE,False,MECHANICAL_FAILURE,NOT_ACTIVATED,,,0,1,16050,690,2.811,artifacts/execution_logs/experiment4/iteration1/iteration1_C2_conditional-h05-080bc02016_plan-3_buggy.log,artifacts/execution_logs/experiment4/iteration1/iteration1_C2_conditional-h05-080bc02016_plan-3_fixed.log,
1,conditional,C2,PLANNER,conditional-h05-080bc02016,planner,PLAN,,VALID,NOT_EXECUTED,,,,080bc02016cd546877b681eb6e3976c601936656104c3a4d7860f5d665e770c1,yes,UNSUPPORTED_ORACLE,,,,,,,,,PLAN_VALID,,VALID_PLAN,,0,VALID,0,1,16542,1741,8.209,,,
2,conditional,C1,TEST,conditional-h01-e0c8bd3ab2,direct,DIRECT,conditional-h01-e0c8bd3ab2-direct,TEST,EXECUTABLE,generated_tests/experiment4/iteration2/C1/conditional-h01-e0c8bd3ab2-direct.py,3c81281a42af9f6ad9f7eae360187f3e269f8a92cdfbda3b49a7d48307c5c686,True,e0c8bd3ab2481f840b4ee7e6902b44ec0bee11d05fbea5261ae5ad5af3f1e7c2,yes,SUPPORTED_ORACLE,1,0,FAIL,PASS,ASSERTION_FAILURE,,AssertionError,,ASSERTION_F2P,True,VALID_ASSERTION_F2P,ACTIVATED,,,0,1,575,691,2.919,artifacts/execution_logs/experiment4/iteration2/iteration2_C1_conditional-h01-e0c8bd3ab2_direct_buggy.log,artifacts/execution_logs/experiment4/iteration2/iteration2_C1_conditional-h01-e0c8bd3ab2_direct_fixed.log,
2,conditional,C1,TEST,conditional-h02-c19fcca1ca,direct,DIRECT,conditional-h02-c19fcca1ca-direct,TEST,EXECUTABLE,generated_tests/experiment4/iteration2/C1/conditional-h02-c19fcca1ca-direct.py,981c213f0d5f1c4db284304b1a24457f51444f32b91106b123b99873d54c061d,True,c19fcca1ca6f1ac998539ccd9c008059015bdca92b9276801c639484bdcfe692,yes,SUPPORTED_ORACLE,1,1,FAIL,FAIL,TARGET_EXCEPTION,TARGET_EXCEPTION,UnicodeEncodeError,UnicodeEncodeError,F2F,False,SEMANTIC_NON_TRIGGER,ACTIVATED,,,0,1,525,314,1.634,artifacts/execution_logs/experiment4/iteration2/iteration2_C1_conditional-h02-c19fcca1ca_direct_buggy.log,artifacts/execution_logs/experiment4/iteration2/iteration2_C1_conditional-h02-c19fcca1ca_direct_fixed.log,
2,conditional,C1,TEST,conditional-h03-768b90f0a5,direct,DIRECT,conditional-h03-768b90f0a5-direct,TEST,EXECUTABLE,generated_tests/experiment4/iteration2/C1/conditional-h03-768b90f0a5-direct.py,02f6ee86eece762f71d21185c359ac6c9a50d0569ccd579514e8e0a6e90396f8,True,768b90f0a584e3ab99782b4766e6a8e28474486ecb76eeab883184fac7f32c1c,yes,SUPPORTED_ORACLE,0,0,PASS,PASS,,,,,P2P,False,TRIGGER_TOO_WEAK,NOT_ACTIVATED,,,0,1,641,721,2.958,artifacts/execution_logs/experiment4/iteration2/iteration2_C1_conditional-h03-768b90f0a5_direct_buggy.log,artifacts/execution_logs/experiment4/iteration2/iteration2_C1_conditional-h03-768b90f0a5_direct_fixed.log,
2,conditional,C1,TEST,conditional-h04-a9ae48b9d8,direct,DIRECT,conditional-h04-a9ae48b9d8-direct,TEST,EXECUTABLE,generated_tests/experiment4/iteration2/C1/conditional-h04-a9ae48b9d8-direct.py,ffd41746e958d32f8cd1942e3ce642cb291b0a9d1b14c6e5e3f4e90bdd292d5c,True,a9ae48b9d893c88b17406f0c9ec663488f2c39df8465b94da1c40f0ad327fa14,yes,SUPPORTED_ORACLE,1,0,FAIL,PASS,ASSERTION_FAILURE,,AssertionError,,ASSERTION_F2P,True,VALID_ASSERTION_F2P,ACTIVATED,,,0,1,605,513,2.287,artifacts/execution_logs/experiment4/iteration2/iteration2_C1_conditional-h04-a9ae48b9d8_direct_buggy.log,artifacts/execution_logs/experiment4/iteration2/iteration2_C1_conditional-h04-a9ae48b9d8_direct_fixed.log,
